rainfalldate	rainfall	wscode
02/01/2006	0	1031
03/01/2006	0	1031
04/01/2006	0	1031
05/01/2006	0	1031
06/01/2006	28.2	1031
07/01/2006	0	1031
08/01/2006	0	1031
09/01/2006	0	1031
10/01/2006	9.5	1031
11/01/2006	0	1031
12/01/2006	4.5	1031
13/01/2006	4.8	1031
14/01/2006	1.6	1031
15/01/2006	3.2	1031
16/01/2006	3.4	1031
17/01/2006	0	1031
18/01/2006	0.4	1031
19/01/2006	0	1031
20/01/2006	0	1031
21/01/2006	0	1031
22/01/2006	0	1031
23/01/2006	0	1031
24/01/2006	0	1031
25/01/2006	11.6	1031
26/01/2006	9.8	1031
27/01/2006	12.1	1031
28/01/2006	2.1	1031
29/01/2006	36.3	1031
30/01/2006	0	1031
