treatcode	obsdate	calage	stagnb	stadnb	stafnb	stahtvd	blatnb	blagnb	blastvd	glai	ei	stamsu	stamfm	stamdm	stamwc	stamsuc	stamfbc	stambjc	stampur	blagdm	bladm	agrfm	agrdm	agrwc	sendm
CP04-0-0-AAA-R570	08-02-1995	1	10.56	7.22	-999	-999	-999	-999	-999	6.18	-999	-999	85.8033	13.7285	84.009	-999	-999	-999	-999	7.599	-999	-999	32.3549	-999	-999
CP04-0-0-AAA-R570	08-06-1995	1	8.67	10.83	-999	-999	-999	-999	-999	8.13	-999	-999	139.8212	34.9329	75.018	-999	-999	-999	-999	8.7232	-999	-999	62.0546	-999	-999
CP04-0-0-AAA-R570	08-07-1994	1	16.67	0	-999	-999	-999	-999	-999	1	-999	0	0	0	-999	-999	-999	-999	-999	0.784	-999	-999	1.4014	-999	-999
CP04-0-0-AAA-R570	10-09-1994	1	-999	-999	-999	-999	-999	-999	-999	-999	0.7089236	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	10-11-1994	1	-999	-999	-999	-999	17.4	8.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	11-05-1995	1	8.89	10.5	-999	-999	-999	-999	-999	7.88	-999	-999	128.1192	32.0074	75.021	-999	-999	-999	-999	8.4666	-999	-999	57.8888	-999	-999
CP04-0-0-AAA-R570	12-09-1994	1	-999	-999	-999	-999	13.36667	5.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	18-04-1995	1	9.22	10	-999	-999	-999	-999	-999	7.35	-999	-999	121.8013	28.0066	77.011	-999	-999	-999	-999	7.8367	-999	-999	51.8285	-999	-999
CP04-0-0-AAA-R570	19-04-1995	1	-999	-999	-999	-999	30.73333	21.76667	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP04-0-0-AAA-R570	21-03-1994	1	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
